FATURA;ID_CONTA_CONTRATO;REGRA;SEGMENTO;STATUS;SUBSTATUS;OBSERVACAO;DADOS_BILLING;DADOS_CONTRATO;DADOS_TABELA_VERDADE;ID_LOTE;PRODUTO;TIPO_SERVICO;DESCRICAO_SERVICO;TIPO_IMPOSTO;PROMOCAO;GRUPO_LOCALIDADE
1;2248075;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP da Receita é genérico: 09842-000 (sede do município) | CEP divergente: base '79610230' x Receita '09842000' | Cidade divergente: base 'TRES LAGOAS' x Receita 'SAO BERNARDO DO CAMPO' | UF divergente: base 'MS' x Receita 'SP';NOME: VIDEIRA TRANSPORTES | DOC: 52611183000185 | CEP: 79610230 | CIDADE: TRES LAGOAS - AN | UF: MS | IE: 303932645883;RAZAO: VIDEIRA TRANSPORTES RODOVIARIOS LTDA | SITUACAO: ATIVA | CEP: 09842000 | END: ASSUMPTA SABATINI ROSSI, 1500 - BATISTINI - SAO BERNARDO DO CAMPO/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;INTERIOR
1;2248075;VALOR_PRODUTO;CORPORATIVO;INCORRETO;ERRO;VALOR INCORRETO DA PROMOCAO X LOCALIDADE Y;NOME: VIDEIRA TRANSPORTES | DOC: 52611183000185 | CEP: 79610230 | CIDADE: TRES LAGOAS - AN | UF: MS | IE: 303932645883;RAZAO: VIDEIRA TRANSPORTES RODOVIARIOS LTDA | SITUACAO: ATIVA | CEP: 09842000 | END: ASSUMPTA SABATINI ROSSI, 1500 - BATISTINI - SAO BERNARDO DO CAMPO/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;INTERIOR
2;2321987;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: CONECTA FIBRA | DOC: 54454862000113 | CEP: 19040520 | CIDADE: PRESIDENTE PRUDENTE - AN | UF: SP | IE: -;RAZAO: GLN HOME LTDA | SITUACAO: ATIVA | CEP: 19040520 | END: TANCREDO NEVES, 1238 - VILA BRASIL - PRESIDENTE PRUDENTE/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
3;2838759;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 06454-000 (representa sede do município, não um endereço específico);NOME: ANA COSTA | DOC: 07305077690 | CEP: 06454000 | CIDADE: BARUERI - AN | UF: SP | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
4;2543135;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: RENATA MOURA | DOC: 53553969768 | CEP: 05144085 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
5;2741670;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: PEDRO OLIVEIRA | DOC: 05389370686 | CEP: 88101010 | CIDADE: SAO JOSE - AN | UF: SC | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
6;1718601;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '16902170' x Receita '16902160';NOME: GLN HOME | DOC: 50764489000146 | CEP: 16902170 | CIDADE: ANDRADINA - AN | UF: SP | IE: ISENTO;RAZAO: BIA PNEUS LTDA - EM RECUPERACAO JUDICIAL | SITUACAO: ATIVA | CEP: 16902160 | END: JOSE GARCIA DE FREITAS, 46 - DISTRITO INDUSTRIAL - ANDRADINA/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
7;2899435;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '88054010' x Receita '89223005' | Cidade divergente: base 'FLORIANOPOLIS' x Receita 'JOINVILLE';NOME: PRIME SOLUCOES | DOC: 41499463000127 | CEP: 88054010 | CIDADE: FLORIANOPOLIS - AN | UF: SC | IE: 555150052120;RAZAO: HUB URBANIDADE LTDA | SITUACAO: ATIVA | CEP: 89223005 | END: ROLF WIEST, 277 - BOM RETIRO - JOINVILLE/SC;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
8;156542;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: ULTRA SUPPLY | DOC: 12355718000180 | CEP: 12228271 | CIDADE: SAO JOSE DOS CAMPOS - AN | UF: SP | IE: -;RAZAO: CARRILHO AREIA E PEDRA LTDA | SITUACAO: ATIVA | CEP: 12228271 | END: LAUDELINO GONCALVES DE MIRANDA, 235 - JARDIM SANTA JULIA - SAO JOSE DOS CAMPOS/SP;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
9;1778832;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 03126-000 (representa sede do município, não um endereço específico);NOME: ROBERTO LIMA | DOC: 05433745643 | CEP: 03126000 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;CAPITAL
